UserId,AttractionId,Rating,VisitYear,VisitMonth,VisitMode,VisitModeName,Attraction,AttractionTypeId,AttractionTypeName,AttractionCityName,AttractionCountry,UserContinent,UserCountry
33,640,4,2017,12,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,Netherlands
34,640,4,2016,7,3,Family,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Africa,South Africa
37,749,4,2017,9,2,Couples,Tegenungan Waterfall,93,Waterfalls,Bali,Indonesia,Europe,Belgium
39,650,4,2017,8,3,Family,Sanur Beach,13,Beaches,Bali,Indonesia,Australia & Oceania,Australia
42,841,4,2016,12,3,Family,Waterbom Bali,92,Water Parks,Bali,Indonesia,Asia,Singapore
48,749,3,2017,5,2,Couples,Tegenungan Waterfall,93,Waterfalls,Bali,Indonesia,Australia & Oceania,Australia
51,640,5,2017,10,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Australia & Oceania,Australia
52,640,3,2017,4,3,Family,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Australia & Oceania,Australia
54,737,3,2017,8,2,Couples,Tanah Lot Temple,76,Religious Sites,Bali,Indonesia,Europe,United Kingdom
56,640,1,2017,11,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,America,Canada
57,748,3,2018,8,4,Friends,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Europe,United Kingdom
59,369,3,2016,7,3,Family,Kuta Beach - Bali,13,Beaches,Bali,Indonesia,Europe,Greece
59,640,5,2019,8,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,Greece
60,748,5,2018,7,2,Couples,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Africa,Egypt
61,640,5,2017,5,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Australia & Oceania,Australia
61,650,5,2018,1,3,Family,Sanur Beach,13,Beaches,Bali,Indonesia,Australia & Oceania,Australia
65,640,5,2018,8,4,Friends,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,America,United States
67,748,5,2018,12,4,Friends,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,America,Brazil
67,749,3,2018,12,4,Friends,Tegenungan Waterfall,93,Waterfalls,Bali,Indonesia,America,Brazil
70,640,5,2016,1,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,United Kingdom
72,748,5,2016,4,2,Couples,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Australia & Oceania,Australia
79,749,3,2017,12,4,Friends,Tegenungan Waterfall,93,Waterfalls,Bali,Indonesia,Asia,Malaysia
83,481,5,2017,10,4,Friends,Nusa Dua Beach,13,Beaches,Bali,Indonesia,America,Canada
85,640,5,2018,7,3,Family,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Australia & Oceania,New Zealand
85,673,5,2018,7,3,Family,Seminyak Beach,13,Beaches,Bali,Indonesia,Australia & Oceania,New Zealand
90,369,5,2016,10,4,Friends,Kuta Beach - Bali,13,Beaches,Bali,Indonesia,Asia,Palestine
90,650,5,2016,10,5,Solo,Sanur Beach,13,Beaches,Bali,Indonesia,Asia,Palestine
90,748,5,2016,10,5,Solo,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Asia,Palestine
92,640,5,2017,5,5,Solo,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,United Kingdom
92,749,5,2017,5,5,Solo,Tegenungan Waterfall,93,Waterfalls,Bali,Indonesia,Europe,United Kingdom
94,650,5,2017,3,2,Couples,Sanur Beach,13,Beaches,Bali,Indonesia,Australia & Oceania,Australia
97,640,5,2018,11,5,Solo,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,America,United States
98,369,3,2017,10,2,Couples,Kuta Beach - Bali,13,Beaches,Bali,Indonesia,Asia,Singapore
102,650,3,2016,6,2,Couples,Sanur Beach,13,Beaches,Bali,Indonesia,Australia & Oceania,Australia
103,369,5,2017,4,2,Couples,Kuta Beach - Bali,13,Beaches,Bali,Indonesia,Africa,South Africa
103,640,4,2017,4,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Africa,South Africa
103,841,5,2017,4,2,Couples,Waterbom Bali,92,Water Parks,Bali,Indonesia,Africa,South Africa
112,650,5,2017,5,3,Family,Sanur Beach,13,Beaches,Bali,Indonesia,Asia,India
113,640,4,2020,3,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,Germany
116,748,2,2016,3,2,Couples,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Asia,Indonesia
117,640,4,2019,8,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,Finland
118,640,5,2013,6,3,Family,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Australia & Oceania,Australia
119,841,5,2016,7,3,Family,Waterbom Bali,92,Water Parks,Bali,Indonesia,Asia,China
122,640,5,2018,7,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Australia & Oceania,Australia
125,650,4,2018,5,4,Friends,Sanur Beach,13,Beaches,Bali,Indonesia,Australia & Oceania,Australia
125,748,4,2018,5,2,Couples,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Australia & Oceania,Australia
129,640,4,2015,10,4,Friends,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,America,United States
129,748,5,2015,10,4,Friends,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,America,United States
131,749,4,2018,7,4,Friends,Tegenungan Waterfall,93,Waterfalls,Bali,Indonesia,Australia & Oceania,Australia
133,748,5,2014,10,3,Family,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Australia & Oceania,Australia
137,640,5,2015,4,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Asia,Indonesia
137,1297,3,2015,2,2,Couples,Yogyakarta Palace,44,Historic Sites,Yogyakarta,Indonesia,Asia,Indonesia
139,650,5,2022,6,4,Friends,Sanur Beach,13,Beaches,Bali,Indonesia,Asia,Indonesia
142,737,4,2016,2,3,Family,Tanah Lot Temple,76,Religious Sites,Bali,Indonesia,Australia & Oceania,Australia
147,640,3,2016,1,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,Sweden
147,737,4,2016,2,2,Couples,Tanah Lot Temple,76,Religious Sites,Bali,Indonesia,Europe,Sweden
147,824,4,2016,2,2,Couples,Uluwatu Temple,76,Religious Sites,Bali,Indonesia,Europe,Sweden
149,369,3,2016,3,4,Friends,Kuta Beach - Bali,13,Beaches,Bali,Indonesia,Australia & Oceania,Australia
152,841,5,2016,1,2,Couples,Waterbom Bali,92,Water Parks,Bali,Indonesia,Australia & Oceania,Australia
153,640,3,2018,7,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Australia & Oceania,Australia
154,841,5,2013,7,3,Family,Waterbom Bali,92,Water Parks,Bali,Indonesia,Australia & Oceania,Australia
155,369,2,2016,3,4,Friends,Kuta Beach - Bali,13,Beaches,Bali,Indonesia,Asia,Taiwan
156,748,4,2018,9,5,Solo,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,America,Canada
157,481,5,2015,11,4,Friends,Nusa Dua Beach,13,Beaches,Bali,Indonesia,Asia,Indonesia
158,841,5,2013,8,3,Family,Waterbom Bali,92,Water Parks,Bali,Indonesia,Australia & Oceania,Australia
160,748,3,2018,12,2,Couples,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,America,United States
162,841,5,2015,3,2,Couples,Waterbom Bali,92,Water Parks,Bali,Indonesia,Australia & Oceania,Australia
166,673,3,2016,5,2,Couples,Seminyak Beach,13,Beaches,Bali,Indonesia,Australia & Oceania,Australia
170,824,2,2015,6,2,Couples,Uluwatu Temple,76,Religious Sites,Bali,Indonesia,America,Canada
176,481,4,2017,1,3,Family,Nusa Dua Beach,13,Beaches,Bali,Indonesia,Australia & Oceania,Australia
177,737,5,2016,9,2,Couples,Tanah Lot Temple,76,Religious Sites,Bali,Indonesia,Australia & Oceania,New Zealand
180,748,5,2013,7,2,Couples,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Europe,United Kingdom
182,737,4,2015,12,5,Solo,Tanah Lot Temple,76,Religious Sites,Bali,Indonesia,America,United States
183,481,5,2019,3,4,Friends,Nusa Dua Beach,13,Beaches,Bali,Indonesia,Europe,Ireland
183,640,4,2019,3,4,Friends,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,Ireland
183,748,5,2019,3,4,Friends,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Europe,Ireland
184,640,5,2016,10,5,Solo,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Australia & Oceania,Australia
185,947,1,2014,4,2,Couples,Mount Semeru Volcano,91,Volcanos,Malang,Indonesia,Europe,United Kingdom
187,737,4,2014,11,4,Friends,Tanah Lot Temple,76,Religious Sites,Bali,Indonesia,America,United States
189,640,3,2015,7,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Australia & Oceania,Australia
190,640,5,2016,4,4,Friends,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,America,Mexico
191,841,5,2016,1,2,Couples,Waterbom Bali,92,Water Parks,Bali,Indonesia,Europe,United Kingdom
192,640,4,2018,11,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,United Kingdom
192,749,3,2017,8,4,Friends,Tegenungan Waterfall,93,Waterfalls,Bali,Indonesia,Europe,United Kingdom
194,650,4,2019,1,4,Friends,Sanur Beach,13,Beaches,Bali,Indonesia,America,United States
194,824,5,2015,8,2,Couples,Uluwatu Temple,76,Religious Sites,Bali,Indonesia,America,United States
194,841,4,2019,2,4,Friends,Waterbom Bali,92,Water Parks,Bali,Indonesia,America,United States
196,737,3,2015,12,3,Family,Tanah Lot Temple,76,Religious Sites,Bali,Indonesia,Australia & Oceania,Australia
196,824,3,2015,12,3,Family,Uluwatu Temple,76,Religious Sites,Bali,Indonesia,Australia & Oceania,Australia
199,640,4,2017,3,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,United Kingdom
200,824,5,2015,6,3,Family,Uluwatu Temple,76,Religious Sites,Bali,Indonesia,Asia,Vietnam
208,841,5,2019,8,3,Family,Waterbom Bali,92,Water Parks,Bali,Indonesia,America,United States
213,748,5,2013,5,5,Solo,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Australia & Oceania,New Zealand
218,640,5,2016,9,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,United Kingdom
228,737,5,2019,3,2,Couples,Tanah Lot Temple,76,Religious Sites,Bali,Indonesia,Asia,India
228,748,4,2019,3,2,Couples,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Asia,India
228,749,4,2019,3,2,Couples,Tegenungan Waterfall,93,Waterfalls,Bali,Indonesia,Asia,India
230,650,4,2017,4,3,Family,Sanur Beach,13,Beaches,Bali,Indonesia,Australia & Oceania,Australia
230,673,3,2017,4,3,Family,Seminyak Beach,13,Beaches,Bali,Indonesia,Australia & Oceania,Australia
230,841,5,2017,4,3,Family,Waterbom Bali,92,Water Parks,Bali,Indonesia,Australia & Oceania,Australia
231,640,5,2019,3,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,United Kingdom
231,748,5,2019,3,2,Couples,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Europe,United Kingdom
234,650,5,2017,9,5,Solo,Sanur Beach,13,Beaches,Bali,Indonesia,Africa,South Africa
239,640,5,2017,8,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,United Kingdom
240,748,4,2017,4,3,Family,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Australia & Oceania,Australia
240,841,5,2017,4,3,Family,Waterbom Bali,92,Water Parks,Bali,Indonesia,Australia & Oceania,Australia
242,650,4,2015,1,2,Couples,Sanur Beach,13,Beaches,Bali,Indonesia,Australia & Oceania,Australia
247,369,3,2016,5,2,Couples,Kuta Beach - Bali,13,Beaches,Bali,Indonesia,America,Canada
247,748,1,2016,5,2,Couples,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,America,Canada
249,737,5,2016,8,2,Couples,Tanah Lot Temple,76,Religious Sites,Bali,Indonesia,Europe,Czech Republic
249,748,4,2016,8,2,Couples,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Europe,Czech Republic
249,749,3,2016,8,2,Couples,Tegenungan Waterfall,93,Waterfalls,Bali,Indonesia,Europe,Czech Republic
255,841,4,2016,2,4,Friends,Waterbom Bali,92,Water Parks,Bali,Indonesia,Australia & Oceania,Australia
256,841,5,2017,2,4,Friends,Waterbom Bali,92,Water Parks,Bali,Indonesia,Australia & Oceania,Australia
266,369,2,2016,3,2,Couples,Kuta Beach - Bali,13,Beaches,Bali,Indonesia,Australia & Oceania,Australia
266,640,4,2018,6,3,Family,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Australia & Oceania,Australia
266,748,4,2018,6,3,Family,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Australia & Oceania,Australia
266,749,4,2018,4,2,Couples,Tegenungan Waterfall,93,Waterfalls,Bali,Indonesia,Australia & Oceania,Australia
266,841,4,2020,2,3,Family,Waterbom Bali,92,Water Parks,Bali,Indonesia,Australia & Oceania,Australia
267,748,5,2019,4,2,Couples,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Australia & Oceania,Australia
268,841,4,2015,1,3,Family,Waterbom Bali,92,Water Parks,Bali,Indonesia,Australia & Oceania,Australia
269,640,4,2016,1,3,Family,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Asia,Indonesia
269,841,5,2016,1,3,Family,Waterbom Bali,92,Water Parks,Bali,Indonesia,Asia,Indonesia
271,640,3,2017,2,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,Spain
272,640,5,2018,9,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,Spain
274,640,5,2015,6,4,Friends,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,America,Canada
274,748,5,2015,6,4,Friends,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,America,Canada
276,737,5,2015,1,3,Family,Tanah Lot Temple,76,Religious Sites,Bali,Indonesia,Europe,France
276,824,5,2015,1,3,Family,Uluwatu Temple,76,Religious Sites,Bali,Indonesia,Europe,France
277,748,5,2018,5,2,Couples,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Europe,United Kingdom
279,841,5,2018,11,2,Couples,Waterbom Bali,92,Water Parks,Bali,Indonesia,Australia & Oceania,Australia
286,737,4,2015,9,2,Couples,Tanah Lot Temple,76,Religious Sites,Bali,Indonesia,Europe,Belgium
286,1297,4,2015,10,2,Couples,Yogyakarta Palace,44,Historic Sites,Yogyakarta,Indonesia,Europe,Belgium
288,640,4,2016,11,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Australia & Oceania,Australia
296,640,4,2016,1,3,Family,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Australia & Oceania,Australia
302,369,3,2014,4,2,Couples,Kuta Beach - Bali,13,Beaches,Bali,Indonesia,Asia,Singapore
303,673,4,2017,10,3,Family,Seminyak Beach,13,Beaches,Bali,Indonesia,Asia,Singapore
315,640,4,2015,8,3,Family,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,United Kingdom
316,650,1,2016,2,2,Couples,Sanur Beach,13,Beaches,Bali,Indonesia,America,United States
317,481,4,2019,6,3,Family,Nusa Dua Beach,13,Beaches,Bali,Indonesia,Europe,United Kingdom
317,640,4,2019,5,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,United Kingdom
319,640,5,2016,11,3,Family,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Australia & Oceania,New Zealand
320,640,4,2016,2,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Australia & Oceania,Australia
320,650,5,2017,6,2,Couples,Sanur Beach,13,Beaches,Bali,Indonesia,Australia & Oceania,Australia
327,640,3,2013,4,3,Family,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,Switzerland
328,640,5,2017,12,4,Friends,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,America,United States
336,673,3,2016,12,3,Family,Seminyak Beach,13,Beaches,Bali,Indonesia,Australia & Oceania,Australia
337,841,5,2015,1,4,Friends,Waterbom Bali,92,Water Parks,Bali,Indonesia,Asia,Indonesia
339,369,3,2018,1,4,Friends,Kuta Beach - Bali,13,Beaches,Bali,Indonesia,Africa,South Africa
339,640,4,2017,12,4,Friends,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Africa,South Africa
339,673,5,2018,1,4,Friends,Seminyak Beach,13,Beaches,Bali,Indonesia,Africa,South Africa
339,749,3,2018,1,4,Friends,Tegenungan Waterfall,93,Waterfalls,Bali,Indonesia,Africa,South Africa
340,640,4,2014,5,4,Friends,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Australia & Oceania,Australia
341,481,4,2013,11,4,Friends,Nusa Dua Beach,13,Beaches,Bali,Indonesia,Asia,Indonesia
341,737,5,2015,4,4,Friends,Tanah Lot Temple,76,Religious Sites,Bali,Indonesia,Asia,Indonesia
346,673,5,2019,9,2,Couples,Seminyak Beach,13,Beaches,Bali,Indonesia,Europe,United Kingdom
348,841,5,2016,11,3,Family,Waterbom Bali,92,Water Parks,Bali,Indonesia,Australia & Oceania,Australia
349,640,5,2016,1,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,Poland
351,640,4,2017,1,3,Family,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Australia & Oceania,Australia
356,841,5,2015,9,2,Couples,Waterbom Bali,92,Water Parks,Bali,Indonesia,Europe,United Kingdom
359,841,5,2018,12,3,Family,Waterbom Bali,92,Water Parks,Bali,Indonesia,Australia & Oceania,Australia
361,640,5,2016,8,4,Friends,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,America,United States
361,749,5,2016,8,4,Friends,Tegenungan Waterfall,93,Waterfalls,Bali,Indonesia,America,United States
365,748,2,2016,9,4,Friends,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Europe,Netherlands
369,673,4,2018,1,4,Friends,Seminyak Beach,13,Beaches,Bali,Indonesia,Australia & Oceania,Australia
378,673,4,2018,4,3,Family,Seminyak Beach,13,Beaches,Bali,Indonesia,Australia & Oceania,Australia
378,841,5,2017,7,2,Couples,Waterbom Bali,92,Water Parks,Bali,Indonesia,Australia & Oceania,Australia
382,640,4,2016,11,3,Family,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Asia,India
382,650,5,2016,11,3,Family,Sanur Beach,13,Beaches,Bali,Indonesia,Asia,India
382,737,4,2016,11,3,Family,Tanah Lot Temple,76,Religious Sites,Bali,Indonesia,Asia,India
382,824,5,2016,11,3,Family,Uluwatu Temple,76,Religious Sites,Bali,Indonesia,Asia,India
386,640,4,2019,6,4,Friends,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Australia & Oceania,Australia
386,650,5,2020,1,4,Friends,Sanur Beach,13,Beaches,Bali,Indonesia,Australia & Oceania,Australia
386,748,3,2019,6,4,Friends,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Australia & Oceania,Australia
388,481,5,2019,1,2,Couples,Nusa Dua Beach,13,Beaches,Bali,Indonesia,Africa,South Africa
390,748,5,2016,6,2,Couples,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Asia,Turkey
393,737,4,2017,10,2,Couples,Tanah Lot Temple,76,Religious Sites,Bali,Indonesia,Europe,Croatia
396,748,3,2015,11,2,Couples,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,America,United States
397,673,4,2017,7,3,Family,Seminyak Beach,13,Beaches,Bali,Indonesia,Australia & Oceania,Australia
397,749,4,2017,7,3,Family,Tegenungan Waterfall,93,Waterfalls,Bali,Indonesia,Australia & Oceania,Australia
399,640,4,2018,8,3,Family,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,Poland
399,650,4,2017,7,3,Family,Sanur Beach,13,Beaches,Bali,Indonesia,Europe,Poland
399,748,5,2018,8,3,Family,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Europe,Poland
399,749,3,2018,8,3,Family,Tegenungan Waterfall,93,Waterfalls,Bali,Indonesia,Europe,Poland
404,640,4,2014,8,3,Family,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,Germany
404,841,5,2014,9,3,Family,Waterbom Bali,92,Water Parks,Bali,Indonesia,Europe,Germany
408,369,5,2017,11,4,Friends,Kuta Beach - Bali,13,Beaches,Bali,Indonesia,Europe,Latvia
408,640,5,2018,10,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,Latvia
408,650,5,2018,11,2,Couples,Sanur Beach,13,Beaches,Bali,Indonesia,Europe,Latvia
408,748,5,2018,10,2,Couples,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Europe,Latvia
408,749,4,2018,10,2,Couples,Tegenungan Waterfall,93,Waterfalls,Bali,Indonesia,Europe,Latvia
410,640,5,2016,8,1,Business,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Asia,Indonesia
418,824,4,2017,8,3,Family,Uluwatu Temple,76,Religious Sites,Bali,Indonesia,Asia,Indonesia
419,369,5,2016,3,2,Couples,Kuta Beach - Bali,13,Beaches,Bali,Indonesia,Europe,United Kingdom
419,841,5,2016,8,3,Family,Waterbom Bali,92,Water Parks,Bali,Indonesia,Europe,United Kingdom
421,640,5,2019,1,5,Solo,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,United Kingdom
422,650,5,2018,6,5,Solo,Sanur Beach,13,Beaches,Bali,Indonesia,America,United States
425,640,3,2016,2,3,Family,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Asia,Singapore
425,748,1,2016,2,3,Family,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Asia,Singapore
426,650,2,2016,1,3,Family,Sanur Beach,13,Beaches,Bali,Indonesia,Australia & Oceania,Australia
430,640,4,2017,5,3,Family,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Asia,India
430,737,5,2017,5,3,Family,Tanah Lot Temple,76,Religious Sites,Bali,Indonesia,Asia,India
430,748,5,2017,5,3,Family,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Asia,India
430,749,5,2017,5,3,Family,Tegenungan Waterfall,93,Waterfalls,Bali,Indonesia,Asia,India
432,748,5,2017,4,3,Family,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Europe,France
432,749,4,2017,3,5,Solo,Tegenungan Waterfall,93,Waterfalls,Bali,Indonesia,Europe,France
433,737,4,2015,6,2,Couples,Tanah Lot Temple,76,Religious Sites,Bali,Indonesia,Australia & Oceania,Australia
435,748,4,2016,10,4,Friends,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Europe,United Kingdom
442,737,4,2016,9,4,Friends,Tanah Lot Temple,76,Religious Sites,Bali,Indonesia,Asia,Singapore
444,640,5,2018,9,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,United Kingdom
444,748,5,2018,9,2,Couples,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Europe,United Kingdom
445,841,4,2015,12,4,Friends,Waterbom Bali,92,Water Parks,Bali,Indonesia,Europe,United Kingdom
