AttractionId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionTypeName
1238,3,2,Sewu Temple,Yogyakarta,Ancient Ruins
1278,3,45,Ullen Sentalu Museum,"Jl. Boyong Taman Wisata, 55581 Indonesia",History Museums
1280,3,72,Water Castle (Tamansari),"Jl. Taman, 55133 Indonesia",Points of Interest & Landmarks
1297,3,44,Yogyakarta Palace,Yogyakarta,Historic Sites
1298,0,902,Ancient Temple - -,"Main Street, -, -",Temple
1299,0,904,Paradise Beach - -,"Main Street, -, -",Beach
1300,0,905,National Park - -,"Main Street, -, -",Park
1301,0,901,Cultural Heritage Center - -,"Main Street, -, -",Museum
1302,2,901,Art Gallery - South Region,"Main Street, South Region, Cameroon",Museum
1303,2,903,Farmers' Market - South Region,"Main Street, South Region, Cameroon",Market
1304,2,903,Night Market - South Region,"Main Street, South Region, Cameroon",Market
1305,2,902,Cathedral - South Region,"Main Street, South Region, Cameroon",Temple
1306,1,905,Eco Park - Douala,"Main Street, Douala, Cameroon",Park
1307,1,901,Art Gallery - Douala,"Main Street, Douala, Cameroon",Museum
1308,1,904,Paradise Beach - Douala,"Main Street, Douala, Cameroon",Beach
1309,1,902,Sacred Shrine - Douala,"Main Street, Douala, Cameroon",Temple
1310,3,904,Crystal Bay - N'Djamena,"Main Street, N'Djamena, Chad",Beach
1311,3,903,Farmers' Market - N'Djamena,"Main Street, N'Djamena, Chad",Market
1312,3,901,Cultural Heritage Center - N'Djamena,"Main Street, N'Djamena, Chad",Museum
1313,3,903,Farmers' Market - N'Djamena,"Main Street, N'Djamena, Chad",Market
1314,5,905,National Park - Kigali Province,"Main Street, Kigali Province, Rwanda",Park
1315,5,904,Crystal Bay - Kigali Province,"Main Street, Kigali Province, Rwanda",Beach
1316,5,901,Science Museum - Kigali Province,"Main Street, Kigali Province, Rwanda",Museum
1317,5,902,Cathedral - Kigali Province,"Main Street, Kigali Province, Rwanda",Temple
1318,4,904,Golden Sand Beach - Kigali,"Main Street, Kigali, Rwanda",Beach
1319,4,902,Grand Mosque - Kigali,"Main Street, Kigali, Rwanda",Temple
1320,4,903,Local Bazaar - Kigali,"Main Street, Kigali, Rwanda",Market
1321,4,901,Cultural Heritage Center - Kigali,"Main Street, Kigali, Rwanda",Museum
1322,6,904,Sunset Cove - Addis Ababa,"Main Street, Addis Ababa, Ethiopia",Beach
1323,6,905,National Park - Addis Ababa,"Main Street, Addis Ababa, Ethiopia",Park
1324,6,903,Farmers' Market - Addis Ababa,"Main Street, Addis Ababa, Ethiopia",Market
1325,6,905,Eco Park - Addis Ababa,"Main Street, Addis Ababa, Ethiopia",Park
1326,7,902,Ancient Temple - Karen,"Main Street, Karen, Kenya",Temple
1327,7,905,National Park - Karen,"Main Street, Karen, Kenya",Park
1328,7,902,Cathedral - Karen,"Main Street, Karen, Kenya",Temple
1329,7,904,Golden Sand Beach - Karen,"Main Street, Karen, Kenya",Beach
1330,8,902,Cathedral - Kenya,"Main Street, Kenya, Kenya",Temple
1331,8,901,Cultural Heritage Center - Kenya,"Main Street, Kenya, Kenya",Museum
1332,8,904,Crystal Bay - Kenya,"Main Street, Kenya, Kenya",Beach
1333,8,902,Grand Mosque - Kenya,"Main Street, Kenya, Kenya",Temple
1334,12,902,Sacred Shrine - Shimoni,"Main Street, Shimoni, Kenya",Temple
1335,12,902,Ancient Temple - Shimoni,"Main Street, Shimoni, Kenya",Temple
1336,12,902,Cathedral - Shimoni,"Main Street, Shimoni, Kenya",Temple
1337,12,901,History Museum - Shimoni,"Main Street, Shimoni, Kenya",Museum
1338,18,903,Local Bazaar - Mauritius,"Main Street, Mauritius, Mauritius",Market
1339,18,905,National Park - Mauritius,"Main Street, Mauritius, Mauritius",Park
1340,18,903,Night Market - Mauritius,"Main Street, Mauritius, Mauritius",Market
1341,18,904,Paradise Beach - Mauritius,"Main Street, Mauritius, Mauritius",Beach
1342,13,903,Farmers' Market - Bel Ombre,"Main Street, Bel Ombre, Mauritius",Market
1343,13,901,History Museum - Bel Ombre,"Main Street, Bel Ombre, Mauritius",Museum
1344,13,903,Flea Market - Bel Ombre,"Main Street, Bel Ombre, Mauritius",Market
1345,13,902,Grand Mosque - Bel Ombre,"Main Street, Bel Ombre, Mauritius",Temple
1346,22,901,History Museum - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius",Museum
1347,22,902,Sacred Shrine - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius",Temple
1348,22,904,Golden Sand Beach - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius",Beach
1349,22,904,Sunset Cove - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius",Beach
1350,24,903,Farmers' Market - Cerf Island,"Main Street, Cerf Island, Seychelles",Market
1351,24,903,Local Bazaar - Cerf Island,"Main Street, Cerf Island, Seychelles",Market
1352,24,902,Cathedral - Cerf Island,"Main Street, Cerf Island, Seychelles",Temple
1353,24,902,Cathedral - Cerf Island,"Main Street, Cerf Island, Seychelles",Temple
1354,25,903,Night Market - Mahe Island,"Main Street, Mahe Island, Seychelles",Market
1355,25,902,Cathedral - Mahe Island,"Main Street, Mahe Island, Seychelles",Temple
1356,25,901,History Museum - Mahe Island,"Main Street, Mahe Island, Seychelles",Museum
1357,25,902,Sacred Shrine - Mahe Island,"Main Street, Mahe Island, Seychelles",Temple
1358,26,905,Botanical Garden - Victoria,"Main Street, Victoria, Seychelles",Park
1359,26,904,Sunset Cove - Victoria,"Main Street, Victoria, Seychelles",Beach
1360,26,901,Cultural Heritage Center - Victoria,"Main Street, Victoria, Seychelles",Museum
1361,26,901,Science Museum - Victoria,"Main Street, Victoria, Seychelles",Museum
1362,28,903,Night Market - Port Sudan,"Main Street, Port Sudan, Sudan",Market
1363,28,903,Farmers' Market - Port Sudan,"Main Street, Port Sudan, Sudan",Market
1364,28,901,Science Museum - Port Sudan,"Main Street, Port Sudan, Sudan",Museum
1365,28,904,Sunset Cove - Port Sudan,"Main Street, Port Sudan, Sudan",Beach
1366,30,903,Farmers' Market - Sudan,"Main Street, Sudan, Sudan",Market
1367,30,905,Botanical Garden - Sudan,"Main Street, Sudan, Sudan",Park
1368,30,901,History Museum - Sudan,"Main Street, Sudan, Sudan",Museum
1369,30,904,Golden Sand Beach - Sudan,"Main Street, Sudan, Sudan",Beach
1370,27,904,Golden Sand Beach - Khartoum,"Main Street, Khartoum, Sudan",Beach
1371,27,905,Botanical Garden - Khartoum,"Main Street, Khartoum, Sudan",Park
1372,27,904,Paradise Beach - Khartoum,"Main Street, Khartoum, Sudan",Beach
1373,27,905,Eco Park - Khartoum,"Main Street, Khartoum, Sudan",Park
1374,31,903,Night Market - Arusha,"Main Street, Arusha, Tanzania",Market
1375,31,903,Flea Market - Arusha,"Main Street, Arusha, Tanzania",Market
1376,31,903,Farmers' Market - Arusha,"Main Street, Arusha, Tanzania",Market
1377,31,903,Night Market - Arusha,"Main Street, Arusha, Tanzania",Market
1378,32,904,Golden Sand Beach - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania",Beach
1379,32,902,Cathedral - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania",Temple
1380,32,905,National Park - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania",Park
1381,32,904,Crystal Bay - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania",Beach
1382,36,905,Wildlife Reserve - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania",Park
1383,36,903,Flea Market - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania",Market
1384,36,904,Crystal Bay - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania",Beach
1385,36,904,Golden Sand Beach - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania",Beach
1386,37,902,Sacred Shrine - Kampala,"Main Street, Kampala, Uganda",Temple
1387,37,902,Grand Mosque - Kampala,"Main Street, Kampala, Uganda",Temple
1388,37,905,Botanical Garden - Kampala,"Main Street, Kampala, Uganda",Park
1389,37,904,Crystal Bay - Kampala,"Main Street, Kampala, Uganda",Beach
1390,39,904,Sunset Cove - Lusaka,"Main Street, Lusaka, Zambia",Beach
1391,39,901,Cultural Heritage Center - Lusaka,"Main Street, Lusaka, Zambia",Museum
1392,39,901,Art Gallery - Lusaka,"Main Street, Lusaka, Zambia",Museum
1393,39,902,Ancient Temple - Lusaka,"Main Street, Lusaka, Zambia",Temple
1394,42,901,History Museum - Victoria Falls,"Main Street, Victoria Falls, Zambia",Museum
1395,42,904,Golden Sand Beach - Victoria Falls,"Main Street, Victoria Falls, Zambia",Beach
1396,42,901,Cultural Heritage Center - Victoria Falls,"Main Street, Victoria Falls, Zambia",Museum
1397,42,905,National Park - Victoria Falls,"Main Street, Victoria Falls, Zambia",Park
1398,40,903,Flea Market - Solwezi,"Main Street, Solwezi, Zambia",Market
1399,40,902,Grand Mosque - Solwezi,"Main Street, Solwezi, Zambia",Temple
1400,40,901,Science Museum - Solwezi,"Main Street, Solwezi, Zambia",Museum
1401,40,905,Eco Park - Solwezi,"Main Street, Solwezi, Zambia",Park
1402,43,903,Local Bazaar - Harare,"Main Street, Harare, Zimbabwe",Market
1403,43,904,Golden Sand Beach - Harare,"Main Street, Harare, Zimbabwe",Beach
1404,43,901,Science Museum - Harare,"Main Street, Harare, Zimbabwe",Museum
1405,43,901,History Museum - Harare,"Main Street, Harare, Zimbabwe",Museum
1406,45,904,Paradise Beach - Algiers,"Main Street, Algiers, Algeria",Beach
1407,45,904,Crystal Bay - Algiers,"Main Street, Algiers, Algeria",Beach
1408,45,903,Flea Market - Algiers,"Main Street, Algiers, Algeria",Market
1409,45,902,Ancient Temple - Algiers,"Main Street, Algiers, Algeria",Temple
1410,47,905,Eco Park - Oran,"Main Street, Oran, Algeria",Park
1411,47,904,Golden Sand Beach - Oran,"Main Street, Oran, Algeria",Beach
1412,47,901,Cultural Heritage Center - Oran,"Main Street, Oran, Algeria",Museum
1413,47,903,Farmers' Market - Oran,"Main Street, Oran, Algeria",Market
1414,44,901,Art Gallery - Alger,"Main Street, Alger, Algeria",Museum
1415,44,903,Night Market - Alger,"Main Street, Alger, Algeria",Market
1416,44,903,Night Market - Alger,"Main Street, Alger, Algeria",Market
1417,44,905,Botanical Garden - Alger,"Main Street, Alger, Algeria",Park
1418,48,902,Cathedral - Ad Duqqi,"Main Street, Ad Duqqi, Egypt",Temple
1419,48,902,Sacred Shrine - Ad Duqqi,"Main Street, Ad Duqqi, Egypt",Temple
1420,48,904,Paradise Beach - Ad Duqqi,"Main Street, Ad Duqqi, Egypt",Beach
1421,48,904,Golden Sand Beach - Ad Duqqi,"Main Street, Ad Duqqi, Egypt",Beach
1422,49,902,Ancient Temple - Al Rehab,"Main Street, Al Rehab, Egypt",Temple
1423,49,903,Flea Market - Al Rehab,"Main Street, Al Rehab, Egypt",Market
1424,49,905,Botanical Garden - Al Rehab,"Main Street, Al Rehab, Egypt",Park
1425,49,905,Botanical Garden - Al Rehab,"Main Street, Al Rehab, Egypt",Park
1426,56,903,Flea Market - El Alamein,"Main Street, El Alamein, Egypt",Market
1427,56,903,Local Bazaar - El Alamein,"Main Street, El Alamein, Egypt",Market
1428,56,902,Grand Mosque - El Alamein,"Main Street, El Alamein, Egypt",Temple
1429,56,901,History Museum - El Alamein,"Main Street, El Alamein, Egypt",Museum
1430,73,902,Cathedral - Oujda,"Main Street, Oujda, Morocco",Temple
1431,73,901,Cultural Heritage Center - Oujda,"Main Street, Oujda, Morocco",Museum
1432,73,902,Grand Mosque - Oujda,"Main Street, Oujda, Morocco",Temple
1433,73,904,Crystal Bay - Oujda,"Main Street, Oujda, Morocco",Beach
1434,67,903,Farmers' Market - Chefchaouen,"Main Street, Chefchaouen, Morocco",Market
1435,67,901,Art Gallery - Chefchaouen,"Main Street, Chefchaouen, Morocco",Museum
1436,67,901,Art Gallery - Chefchaouen,"Main Street, Chefchaouen, Morocco",Museum
1437,67,901,Art Gallery - Chefchaouen,"Main Street, Chefchaouen, Morocco",Museum
1438,71,902,Sacred Shrine - Merzouga,"Main Street, Merzouga, Morocco",Temple
1439,71,902,Sacred Shrine - Merzouga,"Main Street, Merzouga, Morocco",Temple
1440,71,905,Wildlife Reserve - Merzouga,"Main Street, Merzouga, Morocco",Park
1441,71,901,Art Gallery - Merzouga,"Main Street, Merzouga, Morocco",Museum
1442,75,901,Science Museum - Bizerte,"Main Street, Bizerte, Tunisia",Museum
1443,75,904,Crystal Bay - Bizerte,"Main Street, Bizerte, Tunisia",Beach
1444,75,901,Art Gallery - Bizerte,"Main Street, Bizerte, Tunisia",Museum
1445,75,905,National Park - Bizerte,"Main Street, Bizerte, Tunisia",Park
1446,76,901,Art Gallery - Carthage,"Main Street, Carthage, Tunisia",Museum
1447,76,903,Night Market - Carthage,"Main Street, Carthage, Tunisia",Market
1448,76,903,Local Bazaar - Carthage,"Main Street, Carthage, Tunisia",Market
1449,76,902,Ancient Temple - Carthage,"Main Street, Carthage, Tunisia",Temple
1450,80,904,Crystal Bay - Tunis,"Main Street, Tunis, Tunisia",Beach
1451,80,901,History Museum - Tunis,"Main Street, Tunis, Tunisia",Museum
1452,80,904,Sunset Cove - Tunis,"Main Street, Tunis, Tunisia",Beach
1453,80,902,Sacred Shrine - Tunis,"Main Street, Tunis, Tunisia",Temple
1454,82,902,Grand Mosque - Luanda,"Main Street, Luanda, Angola",Temple
1455,82,902,Sacred Shrine - Luanda,"Main Street, Luanda, Angola",Temple
1456,82,904,Sunset Cove - Luanda,"Main Street, Luanda, Angola",Beach
1457,82,902,Grand Mosque - Luanda,"Main Street, Luanda, Angola",Temple
1458,84,902,Cathedral - Gaborone,"Main Street, Gaborone, Botswana",Temple
1459,84,904,Sunset Cove - Gaborone,"Main Street, Gaborone, Botswana",Beach
1460,84,902,Ancient Temple - Gaborone,"Main Street, Gaborone, Botswana",Temple
1461,84,901,Art Gallery - Gaborone,"Main Street, Gaborone, Botswana",Museum
1462,83,901,Science Museum - Botswana,"Main Street, Botswana, Botswana",Museum
1463,83,901,Cultural Heritage Center - Botswana,"Main Street, Botswana, Botswana",Museum
1464,83,905,Wildlife Reserve - Botswana,"Main Street, Botswana, Botswana",Park
1465,83,904,Sunset Cove - Botswana,"Main Street, Botswana, Botswana",Beach
1466,85,902,Cathedral - Chintheche,"Main Street, Chintheche, Malawi",Temple
1467,85,904,Crystal Bay - Chintheche,"Main Street, Chintheche, Malawi",Beach
1468,85,905,Wildlife Reserve - Chintheche,"Main Street, Chintheche, Malawi",Park
1469,85,901,Cultural Heritage Center - Chintheche,"Main Street, Chintheche, Malawi",Museum
1470,87,901,Cultural Heritage Center - Mozambique,"Main Street, Mozambique, Mozambique",Museum
1471,87,903,Flea Market - Mozambique,"Main Street, Mozambique, Mozambique",Market
1472,87,904,Golden Sand Beach - Mozambique,"Main Street, Mozambique, Mozambique",Beach
1473,87,903,Flea Market - Mozambique,"Main Street, Mozambique, Mozambique",Market
1474,89,903,Flea Market - Tofinho,"Main Street, Tofinho, Mozambique",Market
1475,89,902,Ancient Temple - Tofinho,"Main Street, Tofinho, Mozambique",Temple
1476,89,901,Cultural Heritage Center - Tofinho,"Main Street, Tofinho, Mozambique",Museum
1477,89,905,National Park - Tofinho,"Main Street, Tofinho, Mozambique",Park
1478,86,904,Paradise Beach - Maputo,"Main Street, Maputo, Mozambique",Beach
1479,86,904,Paradise Beach - Maputo,"Main Street, Maputo, Mozambique",Beach
1480,86,905,National Park - Maputo,"Main Street, Maputo, Mozambique",Park
1481,86,903,Night Market - Maputo,"Main Street, Maputo, Mozambique",Market
1482,90,901,Cultural Heritage Center - Swakopmund,"Main Street, Swakopmund, Namibia",Museum
1483,90,903,Farmers' Market - Swakopmund,"Main Street, Swakopmund, Namibia",Market
1484,90,904,Sunset Cove - Swakopmund,"Main Street, Swakopmund, Namibia",Beach
1485,90,903,Local Bazaar - Swakopmund,"Main Street, Swakopmund, Namibia",Market
1486,91,901,Science Museum - Walvis Bay,"Main Street, Walvis Bay, Namibia",Museum
1487,91,905,Wildlife Reserve - Walvis Bay,"Main Street, Walvis Bay, Namibia",Park
1488,91,901,Art Gallery - Walvis Bay,"Main Street, Walvis Bay, Namibia",Museum
1489,91,901,Art Gallery - Walvis Bay,"Main Street, Walvis Bay, Namibia",Museum
1490,92,903,Flea Market - Windhoek,"Main Street, Windhoek, Namibia",Market
1491,92,904,Crystal Bay - Windhoek,"Main Street, Windhoek, Namibia",Beach
1492,92,901,Science Museum - Windhoek,"Main Street, Windhoek, Namibia",Museum
1493,92,905,Botanical Garden - Windhoek,"Main Street, Windhoek, Namibia",Park
1494,137,903,Night Market - Johannesburg South,"Main Street, Johannesburg South, South Africa",Market
1495,137,905,Wildlife Reserve - Johannesburg South,"Main Street, Johannesburg South, South Africa",Park
1496,137,904,Crystal Bay - Johannesburg South,"Main Street, Johannesburg South, South Africa",Beach
1497,137,901,Science Museum - Johannesburg South,"Main Street, Johannesburg South, South Africa",Museum
1498,140,901,Art Gallery - Kemptonpark,"Main Street, Kemptonpark, South Africa",Museum
1499,140,905,Wildlife Reserve - Kemptonpark,"Main Street, Kemptonpark, South Africa",Park
1500,140,901,Cultural Heritage Center - Kemptonpark,"Main Street, Kemptonpark, South Africa",Museum
1501,140,902,Cathedral - Kemptonpark,"Main Street, Kemptonpark, South Africa",Temple
1502,97,905,National Park - Benoni,"Main Street, Benoni, South Africa",Park
1503,97,905,Eco Park - Benoni,"Main Street, Benoni, South Africa",Park
1504,97,905,Eco Park - Benoni,"Main Street, Benoni, South Africa",Park
1505,97,905,Eco Park - Benoni,"Main Street, Benoni, South Africa",Park
1506,213,902,Grand Mosque - Ouagadougou,"Main Street, Ouagadougou, Burkina Faso",Temple
1507,213,901,Art Gallery - Ouagadougou,"Main Street, Ouagadougou, Burkina Faso",Museum
1508,213,905,National Park - Ouagadougou,"Main Street, Ouagadougou, Burkina Faso",Park
1509,213,903,Night Market - Ouagadougou,"Main Street, Ouagadougou, Burkina Faso",Market
1510,214,903,Farmers' Market - Santa Maria,"Main Street, Santa Maria, Cape Verde",Market
1511,214,903,Local Bazaar - Santa Maria,"Main Street, Santa Maria, Cape Verde",Market
1512,214,904,Golden Sand Beach - Santa Maria,"Main Street, Santa Maria, Cape Verde",Beach
1513,214,902,Grand Mosque - Santa Maria,"Main Street, Santa Maria, Cape Verde",Temple
1514,215,902,Grand Mosque - Abidjan,"Main Street, Abidjan, Côte d'Ivoire",Temple
1515,215,904,Golden Sand Beach - Abidjan,"Main Street, Abidjan, Côte d'Ivoire",Beach
1516,215,904,Golden Sand Beach - Abidjan,"Main Street, Abidjan, Côte d'Ivoire",Beach
1517,215,905,Wildlife Reserve - Abidjan,"Main Street, Abidjan, Côte d'Ivoire",Park
1518,217,903,Night Market - Kumasi,"Main Street, Kumasi, Ghana",Market
1519,217,902,Grand Mosque - Kumasi,"Main Street, Kumasi, Ghana",Temple
1520,217,903,Local Bazaar - Kumasi,"Main Street, Kumasi, Ghana",Market
1521,217,904,Crystal Bay - Kumasi,"Main Street, Kumasi, Ghana",Beach
1522,216,905,National Park - Accra,"Main Street, Accra, Ghana",Park
1523,216,904,Crystal Bay - Accra,"Main Street, Accra, Ghana",Beach
1524,216,903,Farmers' Market - Accra,"Main Street, Accra, Ghana",Market
1525,216,901,Cultural Heritage Center - Accra,"Main Street, Accra, Ghana",Museum
1526,219,905,Eco Park - Ilorin,"Main Street, Ilorin, NIGERIA",Park
1527,219,903,Flea Market - Ilorin,"Main Street, Ilorin, NIGERIA",Market
1528,219,901,History Museum - Ilorin,"Main Street, Ilorin, NIGERIA",Museum
1529,219,903,Farmers' Market - Ilorin,"Main Street, Ilorin, NIGERIA",Market
1530,222,902,Cathedral - Port Harcourt,"Main Street, Port Harcourt, NIGERIA",Temple
1531,222,901,Science Museum - Port Harcourt,"Main Street, Port Harcourt, NIGERIA",Museum
1532,222,903,Flea Market - Port Harcourt,"Main Street, Port Harcourt, NIGERIA",Market
1533,222,901,Art Gallery - Port Harcourt,"Main Street, Port Harcourt, NIGERIA",Museum
1534,220,903,Night Market - Lagos,"Main Street, Lagos, NIGERIA",Market
1535,220,905,Eco Park - Lagos,"Main Street, Lagos, NIGERIA",Park
1536,220,904,Crystal Bay - Lagos,"Main Street, Lagos, NIGERIA",Beach
1537,220,903,Night Market - Lagos,"Main Street, Lagos, NIGERIA",Market
1538,224,905,National Park - Saly,"Main Street, Saly, Senegal",Park
1539,224,903,Local Bazaar - Saly,"Main Street, Saly, Senegal",Market
1540,224,902,Ancient Temple - Saly,"Main Street, Saly, Senegal",Temple
1541,224,905,Wildlife Reserve - Saly,"Main Street, Saly, Senegal",Park
1542,223,904,Paradise Beach - Dakar,"Main Street, Dakar, Senegal",Beach
1543,223,903,Local Bazaar - Dakar,"Main Street, Dakar, Senegal",Market
1544,223,902,Cathedral - Dakar,"Main Street, Dakar, Senegal",Temple
1545,223,902,Sacred Shrine - Dakar,"Main Street, Dakar, Senegal",Temple
1546,225,903,Local Bazaar - Antigua and Barbuda,"Main Street, Antigua and Barbuda, Antigua and Barbuda",Market
1547,225,905,Botanical Garden - Antigua and Barbuda,"Main Street, Antigua and Barbuda, Antigua and Barbuda",Park
1548,225,903,Local Bazaar - Antigua and Barbuda,"Main Street, Antigua and Barbuda, Antigua and Barbuda",Market
1549,225,905,Wildlife Reserve - Antigua and Barbuda,"Main Street, Antigua and Barbuda, Antigua and Barbuda",Park
1550,227,903,Night Market - New Providence Island,"Main Street, New Providence Island, Bahamas",Market
1551,227,902,Grand Mosque - New Providence Island,"Main Street, New Providence Island, Bahamas",Temple
1552,227,903,Night Market - New Providence Island,"Main Street, New Providence Island, Bahamas",Market
1553,227,904,Crystal Bay - New Providence Island,"Main Street, New Providence Island, Bahamas",Beach
1554,226,901,Cultural Heritage Center - Nassau,"Main Street, Nassau, Bahamas",Museum
1555,226,902,Cathedral - Nassau,"Main Street, Nassau, Bahamas",Temple
1556,226,905,Eco Park - Nassau,"Main Street, Nassau, Bahamas",Park
1557,226,902,Grand Mosque - Nassau,"Main Street, Nassau, Bahamas",Temple
1558,229,905,Wildlife Reserve - Saint Philip Parish,"Main Street, Saint Philip Parish, Barbados",Park
1559,229,903,Local Bazaar - Saint Philip Parish,"Main Street, Saint Philip Parish, Barbados",Market
1560,229,901,Science Museum - Saint Philip Parish,"Main Street, Saint Philip Parish, Barbados",Museum
1561,229,904,Golden Sand Beach - Saint Philip Parish,"Main Street, Saint Philip Parish, Barbados",Beach
1562,228,902,Cathedral - Bridgetown,"Main Street, Bridgetown, Barbados",Temple
1563,228,905,Eco Park - Bridgetown,"Main Street, Bridgetown, Barbados",Park
1564,228,905,National Park - Bridgetown,"Main Street, Bridgetown, Barbados",Park
1565,228,901,Art Gallery - Bridgetown,"Main Street, Bridgetown, Barbados",Museum
1566,230,901,History Museum - Cayman Island,"Main Street, Cayman Island, Cayman Island",Museum
1567,230,905,Botanical Garden - Cayman Island,"Main Street, Cayman Island, Cayman Island",Park
1568,230,901,Science Museum - Cayman Island,"Main Street, Cayman Island, Cayman Island",Museum
1569,230,901,Art Gallery - Cayman Island,"Main Street, Cayman Island, Cayman Island",Museum
1570,231,901,Science Museum - Havana,"Main Street, Havana, Cuba",Museum
1571,231,903,Farmers' Market - Havana,"Main Street, Havana, Cuba",Market
1572,231,903,Local Bazaar - Havana,"Main Street, Havana, Cuba",Market
1573,231,901,Art Gallery - Havana,"Main Street, Havana, Cuba",Museum
1574,232,905,Eco Park - CuraÃ§ao,"Main Street, CuraÃ§ao, Curacao",Park
1575,232,903,Local Bazaar - CuraÃ§ao,"Main Street, CuraÃ§ao, Curacao",Market
1576,232,902,Cathedral - CuraÃ§ao,"Main Street, CuraÃ§ao, Curacao",Temple
1577,232,901,Cultural Heritage Center - CuraÃ§ao,"Main Street, CuraÃ§ao, Curacao",Museum
1578,233,902,Cathedral - Curacao,"Main Street, Curacao, Curacao",Temple
1579,233,901,Science Museum - Curacao,"Main Street, Curacao, Curacao",Museum
1580,233,901,History Museum - Curacao,"Main Street, Curacao, Curacao",Museum
1581,233,902,Cathedral - Curacao,"Main Street, Curacao, Curacao",Temple
1582,234,902,Sacred Shrine - Willemstad,"Main Street, Willemstad, Curacao",Temple
1583,234,903,Flea Market - Willemstad,"Main Street, Willemstad, Curacao",Market
1584,234,905,Botanical Garden - Willemstad,"Main Street, Willemstad, Curacao",Park
1585,234,903,Local Bazaar - Willemstad,"Main Street, Willemstad, Curacao",Market
1586,235,901,Science Museum - Dominican Republic,"Main Street, Dominican Republic, Dominican Republic",Museum
1587,235,902,Ancient Temple - Dominican Republic,"Main Street, Dominican Republic, Dominican Republic",Temple
1588,235,902,Grand Mosque - Dominican Republic,"Main Street, Dominican Republic, Dominican Republic",Temple
1589,235,905,National Park - Dominican Republic,"Main Street, Dominican Republic, Dominican Republic",Park
1590,236,903,Flea Market - Punta Cana,"Main Street, Punta Cana, Dominican Republic",Market
1591,236,904,Paradise Beach - Punta Cana,"Main Street, Punta Cana, Dominican Republic",Beach
1592,236,904,Golden Sand Beach - Punta Cana,"Main Street, Punta Cana, Dominican Republic",Beach
1593,236,903,Flea Market - Punta Cana,"Main Street, Punta Cana, Dominican Republic",Market
1594,237,902,Cathedral - Santo Domingo,"Main Street, Santo Domingo, Dominican Republic",Temple
